RANK,FARM /CWS,SCORE,WEIGHT (lb),FINAL BID ($/lb),TOTAL VALUE,COUNTRY,YEAR
1A,La Bendicion,92.00,661.38,$31.60,"$20,899.61",El Salvador,2024
1B,La Bendicion,92.00,716.50,$30.90,"$22,139.85",El Salvador,2024
2,Los Naranjos,91.02,815.70,$20.20,"$16,477.14",El Salvador,2024
3,Finca El Portezuelo,90.09,1075.84,$13.50,"$14,523.84",El Salvador,2024
4,La Montaña,89.50,482.81,$13.20,"$6,373.09",El Salvador,2024
5,San Antonio De Alejandria,89.18,720.90,$10.30,"$7,425.27",El Salvador,2024
6,San Jose,88.05,487.22,$10.60,"$5,164.53",El Salvador,2024
7,Plan Del Hoyo,87.77,421.08,$28.10,"$11,832.35",El Salvador,2024
8,San Luis De Los Recuerdos,87.14,1097.89,$13.60,"$14,931.30",El Salvador,2024
1A,Los Morales,91.80,198.41,$122.00,"$24,206.02",El Salvador,2024
1B,Los Morales,91.80,260.14,$114.00,"$29,655.96",El Salvador,2024
2,El Angel,91.45,502.65,$36.10,"$18,145.67",El Salvador,2024
3,Campo Bello,90.43,978.84,$16.60,"$16,248.74",El Salvador,2024
4,Don Octavio,89.34,524.69,$12.80,"$6,716.03",El Salvador,2024
5,Los Naranjos,88.95,974.43,$10.00,"$9,744.30",El Salvador,2024
6,Mirador,88.30,956.80,$11.00,"$10,524.80",El Salvador,2024
7,Plan Del Hoyo,88.30,487.22,$13.00,"$6,333.86",El Salvador,2024
8,"Finca  El Pital Coffee Estate, S.A. De C.V..",88.14,476.19,$13.30,"$6,333.33",El Salvador,2024
9,Holanda,87.45,564.38,$11.10,"$6,264.62",El Salvador,2024
10,El Angel,87.27,738.54,$10.10,"$7,459.25",El Salvador,2024
1A,Las Brumas,91.09,264.55,$55.00,"$14,550.25",El Salvador,2024
1B,Las Brumas,91.09,335.10,$53.80,"$18,028.38",El Salvador,2024
2,Finca Ethiopia,91.02,890.66,$17.75,"$15,809.22",El Salvador,2024
3,Los Pirineos,90.45,1205.92,$9.60,"$11,576.83",El Salvador,2024
4,Noruega,90.23,992.07,$10.20,"$10,119.11",El Salvador,2024
5,La Perla,88.68,787.04,$9.50,"$7,476.88",El Salvador,2024
6,Las Delicias,88.32,524.69,$12.75,"$6,689.80",El Salvador,2024
7,El Angel,88.32,575.40,$12.70,"$7,307.58",El Salvador,2024
8,Puerto Arturo,88.20,537.92,$10.10,"$5,432.99",El Salvador,2024
9,El Manantial,88.07,789.25,$9.00,"$7,103.25",El Salvador,2024
10,El Izotal,88.02,465.17,$26.40,"$12,280.49",El Salvador,2024
11,Las Duanas,87.91,1452.83,$8.60,"$12,494.34",El Salvador,2024
12,Finca El Pezote,87.75,798.07,$8.80,"$7,023.02",El Salvador,2024
