RANK,SCORE,FARM /CWS,FARMER / REPRESENTATIVE,PROCESS,VARIETY,REGION,WEIGHT (Kg),CONTINENT,COUNTRY,YEAR
1,92.00,La Bendicion,Ismael  Recinos Flores,Honey,Pacamara,Alotepec-Metapan,625,North America (Central America),El Salvador,2024
2,91.02,Los Naranjos,David  Velasquez Gomez,Lavado,Geisha,Apaneca-Ilamatepec,370,North America (Central America),El Salvador,2024
3,90.09,Finca El Portezuelo,Rolando Melvi Huezo Escobar,Honey,Pacamara,Alotepec-Metapan,488,North America (Central America),El Salvador,2024
4,89.50,La Montaña,Francisco Alexander Ochoa Romero,Honey,Pacamara,Alotepec-Metapan,219,North America (Central America),El Salvador,2024
5,89.18,San Antonio De Alejandria,"Jose Elias Escobar Romero, S.A De C.V.",Honey,Pacamara,El Balsamo-Quezaltepeque,327,North America (Central America),El Salvador,2024
6,88.05,San Jose,[w]Terra Unlimited. S.A. De C.V.,Lavado,Pacamara,Apaneca-Ilamatepec,221,North America (Central America),El Salvador,2024
7,87.77,Plan Del Hoyo,"Monserrate, S.A. De C.V.",Lavado,Geisha,Apaneca-Ilamatepec,191,North America (Central America),El Salvador,2024
8,87.14,San Luis De Los Recuerdos,Roberto Samuel Ulloa Rusconi,Honey,Geisha,Apaneca-Ilamatepec,498,North America (Central America),El Salvador,2024
1,91.80,Los Morales,Henri Milton Morales Umaña,Natural,Geisha,Alotepec-Metapan,208,North America (Central America),El Salvador,2024
2,91.45,El Angel,Rafael Gerardo Silva Esteves,Natural,Sl28,Apaneca-Ilamatepec,228,North America (Central America),El Salvador,2024
3,90.43,Campo Bello,"Tre Inversiones, S.A. De C.V.",Natural,Geisha,Apaneca-Ilamatepec,444,North America (Central America),El Salvador,2024
4,89.34,Don Octavio,Jose Octavio Umaña Valdivieso,Natural,Pacamara,Alotepec-Metapan,238,North America (Central America),El Salvador,2024
5,88.95,Los Naranjos,David  Velasquez Gomez,Natural,Pacamara,Apaneca-Ilamatepec,442,North America (Central America),El Salvador,2024
6,88.30,Mirador,Roberto Samuel Ulloa Vilanova,Natural,Sl28,Apaneca-Ilamatepec,434,North America (Central America),El Salvador,2024
7,88.30,Plan Del Hoyo,"Monserrate, S.A. De C.V.",Natural,Sl28,Apaneca-Ilamatepec,221,North America (Central America),El Salvador,2024
8,88.14,"Finca  El Pital Coffee Estate, S.A. De C.V..","El Pital Coffee Estate, S.A. De C.V.",Natural,Geisha 50% / Tipica 50%,Alotepec-Metapan,216,North America (Central America),El Salvador,2024
9,87.45,Holanda,Carlos Mauricio Alberto Escalon Pacas,Natural,Pacamara 50% / Anacafe 50%,Apaneca-Ilamatepec,256,North America (Central America),El Salvador,2024
10,87.27,El Angel,Carlos Alfredo Mendez Florez Cabezas,Natural,Pacamara,Apaneca-Ilamatepec,335,North America (Central America),El Salvador,2024
1,91.09,Las Brumas,Juan Jose Ernesto Menendez Arguello,Natural / Anaerobico,Bourbon 60% / Pacamara 40%,Apaneca-Ilamatepec,272,North America (Central America),El Salvador,2024
2,91.02,Finca Ethiopia,Sandra Xiomara Velasquez Moreno,Natural / Maceracion Carbonica,Geisha,Apaneca-Ilamatepec,404,North America (Central America),El Salvador,2024
3,90.45,Los Pirineos,"[w]Agricafe, S.A. De C.V.",Natural / Anaerobico,Pacamara,Tecapa Chinameca,547,North America (Central America),El Salvador,2024
4,90.23,Noruega,"Los Naranjos Cafe, S.A. De C.V.",Natural / Anaerobico,Geisha,Apaneca-Ilamatepec,450,North America (Central America),El Salvador,2024
5,88.68,La Perla,Walter Vladimir Pineda Rodriguez,Lavado / Anaerobico,Pacamara,Alotepec-Metapan,357,North America (Central America),El Salvador,2024
6,88.32,Las Delicias,"Cafescal, S. A. De C. V.",Honey / Anaerobico,Sl28,Apaneca-Ilamatepec,238,North America (Central America),El Salvador,2024
7,88.32,El Angel,[w]Rafael Gerardo Silva Esteves,Natural / Maceracion Carbonica,Sl28,Apaneca-Ilamatepec,261,North America (Central America),El Salvador,2024
8,88.20,Puerto Arturo,[w]Karla Patricia Quiros  De Moises,Natural / Anaerobico,Pacamara,Apaneca-Ilamatepec,244,North America (Central America),El Salvador,2024
9,88.07,El Manantial,Noe Aquiles Chacon Murcia,Lavado / Anaerobico,Pacamara,Alotepec-Metapan,358,North America (Central America),El Salvador,2024
10,88.02,El Izotal,"Aserradero Y Venta De Madera El Pinar, S.A. De C-.V.",Lavado / Anaerobico,Geisha,Alotepec-Metapan,211,North America (Central America),El Salvador,2024
11,87.91,Las Duanas,Enrique  Mena Gutierrez,Lavado / Anaerobico,Pacamara,Alotepec – Metapan,659,North America (Central America),El Salvador,2024
12,87.75,Finca El Pezote,Hugo Alfonso Pineda Rodriguez,Lavado / Anaerobico,Pacamara,Alotepec-Metapan,362,North America (Central America),El Salvador,2024
