RANK,FARM /CWS,SCORE,WEIGHT (lb),FINAL BID ($/lb),TOTAL VALUE,COUNTRY,YEAR
1A,La Reforma Y Anexos,92.27,289.5,$117.66,"$34,062.57",Guatemala,2024
1B,La Reforma Y Anexos,92.27,289.5,$110.30,"$31,931.85",Guatemala,2024
2,Las Macadamias,90.56,1042.5,$19.00,"$19,807.50",Guatemala,2024
3,El Eden,89.94,596.3,$50.21,"$29,940.22",Guatemala,2024
4,Rosma,89.31,607.5,$35.30,"$21,444.75",Guatemala,2024
5,El Socorro,88.83,658.2,$31.00,"$20,404.20",Guatemala,2024
6,Guatalon,88.3,612.5,$15.10,"$9,248.75",Guatemala,2024
7,Villaure,88.19,558.8,$27.10,"$15,143.48",Guatemala,2024
8,Kalibus La Sierra,88.14,680.5,$27.10,"$18,441.55",Guatemala,2024
9,Montaña Helada,88.13,443.2,$20.60,"$9,129.92",Guatemala,2024
10,Hacienda Del Cafe,87.67,527.3,$16.20,"$8,542.26",Guatemala,2024
11,Vista Hermosa,87.5,591.2,$19.90,"$11,764.88",Guatemala,2024
12,Coyote Blanco-Sac Utiú,87.47,588.2,$22.60,"$13,293.32",Guatemala,2024
13,Santa Isabel,87.22,545.6,$18.50,"$10,093.60",Guatemala,2024
1A,Bella Vista,90.20,436.10,$36.10,"$15,743.21",Guatemala,2024
1B,Bella Vista,90.20,436.10,$35.20,"$15,350.72",Guatemala,2024
2,El Zapote Y Anexos,90.19,1183.50,$21.10,"$24,971.85",Guatemala,2024
3,La Gran Manzana,89.80,439.10,$27.40,"$12,031.34",Guatemala,2024
4,Ponderosa,89.53,819.40,$15.00,"$12,291.00",Guatemala,2024
5,Morelia,88.89,648.00,$20.10,"$13,024.80",Guatemala,2024
6,La Bugambilia,87.61,459.40,$14.00,"$6,431.60",Guatemala,2024
1,Bella Elizabeth,89.59,900.50,$19.30,"$17,379.65",Guatemala,2024
2,Plan De La Vega,89.28,635.90,$16.02,"$10,187.12",Guatemala,2024
3,La Cima,89.23,933.00,$13.00,"$12,129.00",Guatemala,2024
4,Coop. Agricola Integral Chicoj. R.L.,88.97,608.50,$15.40,"$9,370.90",Guatemala,2024
5,Los Conejos,88.20,675.40,$14.10,"$9,523.14",Guatemala,2024
6,La Bolsa,87.70,604.40,$14.00,"$8,461.60",Guatemala,2024
7,La Tacita,87.50,938.10,$12.90,"$12,101.49",Guatemala,2024
8,El Cipres,87.30,457.40,$14.00,"$6,403.60",Guatemala,2024
9,Calahute Alto,87.22,590.20,$13.00,"$7,672.60",Guatemala,2024
