RANK,SCORE,FARM /CWS,FARMER / REPRESENTATIVE,PROCESS,VARIETY,REGION,WEIGHT (Kg),COUNTRY,CONTINENT,YEAR
1A,92.27,La Reforma Y Anexos,"La Reforma Y Asociados, S. A.",Washed,Geisha,Huehuetenango,131.33,Guatemala,North America (Central America),2024
1B,92.27,La Reforma Y Anexos,"La Reforma Y Asociados, S. A.",Washed,Geisha,Huehuetenango,131.33,Guatemala,North America (Central America),2024
2A,90.56,Las Macadamias,"Las Macadamias, Sociedad Anonima",Washed,Pacamara,Huehuetenango,236.44,Guatemala,North America (Central America),2024
2B,90.56,Las Macadamias,"Las Macadamias, Sociedad Anonima",Washed,Pacamara,Huehuetenango,236.44,Guatemala,North America (Central America),2024
3,89.94,El Eden,Leonardo Rene Perez Hidalgo,Washed,Geisha,Huehuetenango,270.48,Guatemala,North America (Central America),2024
4,89.31,Rosma,Fredy Milton Morales Merida,Washed,Geisha,Huehuetenango,275.54,Guatemala,North America (Central America),2024
5,88.83,El Socorro,"Cercol, S. A.",Washed,Geisha,Guatemala,298.54,Guatemala,North America (Central America),2024
6,88.30,Guatalon,Guillermo Antonio Juarez Solares,Washed,Pacamara,Santa Rosa,277.84,Guatemala,North America (Central America),2024
7,88.19,Villaure,Aurelio Villatoro Castillo,Washed,Geisha,Huehuetenango,253.46,Guatemala,North America (Central America),2024
8,88.14,Kalibus La Sierra,Pompeyo Castillo Cerezo,Washed,Geisha,El Progreso,308.66,Guatemala,North America (Central America),2024
9,88.13,Montaña Helada,"Rocafe, Sociedad Anonima",Washed,Geisha,Jalapa,201.02,Guatemala,North America (Central America),2024
10,87.67,Hacienda Del Cafe,Leonardo Rene Perez Hidalgo,Washed,Geisha,Huehuetenango,239.20,Guatemala,North America (Central America),2024
11,87.50,Vista Hermosa,Edgar Orlando Hernandez Lucas,Washed,Geisha,Huehuetenango,268.18,Guatemala,North America (Central America),2024
12,87.47,Coyote Blanco-Sac Utiú,Pompeyo Castillo Cerezo,Washed,Geisha,El Progreso,266.80,Guatemala,North America (Central America),2024
13,87.22,Santa Isabel,"Agricola Valmar, S. A.",Washed,SL-28,Alta Verapaz,247.48,Guatemala,North America (Central America),2024
1A,90.20,Bella Vista,Arcenio Castillo Villatoro,Natural,Geisha,Huehuetenango,197.80,Guatemala,North America (Central America),2024
1B,90.20,Bella Vista,Arcenio Castillo Villatoro,Natural,Geisha,Huehuetenango,197.80,Guatemala,North America (Central America),2024
2A,90.19,El Zapote Y Anexos,Wilfrido Hernán Pérez Pérez,Natural,Geisha,Huehuetenango,268.41,Guatemala,North America (Central America),2024
2B,90.19,El Zapote Y Anexos,Wilfrido Hernán Pérez Pérez,Natural,Geisha,Huehuetenango,268.41,Guatemala,North America (Central America),2024
3,89.80,La Gran Manzana,Angel Alejandro Morales De La Peña,Natural,Geisha,Huehuetenango,199.18,Guatemala,North America (Central America),2024
4,89.53,Ponderosa,Wilfrido Hernán Pérez Pérez,Natural,Pacamara,Huehuetenango,371.68,Guatemala,North America (Central America),2024
5,88.89,Morelia,"Rocafe, Sociedad Anonima",Honey,Geisha,Santa Rosa,293.94,Guatemala,North America (Central America),2024
6,87.61,La Bugambilia,Guillermo Antonio Juarez Solares,Natural,Pacamara,Santa Rosa,208.38,Guatemala,North America (Central America),2024
1,89.59,Bella Elizabeth,Erwin Humberto Argueta Herrera,Washed,"Borbon,Pache,Caturra",Huehuetenango,408.48,Guatemala,North America (Central America),2024
2,89.28,Plan De La Vega,Erwin Humberto Argueta Herrera,Natural,"Borbon,Caturra",Huehuetenango,288.42,Guatemala,North America (Central America),2024
3,89.23,La Cima,"Quality Exports Of Guatemala, S. A.",Natural,Centroamericano H1,Guatemala,423.20,Guatemala,North America (Central America),2024
4,88.97,Coop. Agricola Integral Chicoj. R.L.,"Coop. Agricola Integral Chicoj, R. L.[o]",Natural,Caturra,Alta Verapaz,276.00,Guatemala,North America (Central America),2024
5,88.20,Los Conejos,Julio Cesar Ordoñez Montenegro[w],Natural,Catisit,Santa Rosa,306.36,Guatemala,North America (Central America),2024
6,87.70,La Bolsa,"Negocios Comerciales Internacionales, S. A.",Washed,"Borbon,Caturra",Huehuetenango,274.16,Guatemala,North America (Central America),2024
7,87.50,La Tacita,"Agricola La Tacita, S. A.",Washed,Borbon,Sacatepequez,425.50,Guatemala,North America (Central America),2024
8,87.30,El Cipres,Israel Marroquin Ramos,Honey,Sarchimor,Baja Verapaz,207.46,Guatemala,North America (Central America),2024
9,87.22,Calahute Alto,"Cafe don Alfonso, S. A.",Honey,"Borbon,Caturra,Catuaí",Huehuetenango,267.72,Guatemala,North America (Central America),2024
